Date,Predicted_Price
2024-02-14,-174.79324135759634
2024-02-15,-176.49487535591106
2024-02-16,-178.15858285439936
2024-02-17,-179.78342518039244
2024-02-18,-181.3684636612452
2024-02-19,-182.91275962429972
2024-02-20,-184.41537439690546
2024-02-21,-185.87536930640817
2024-02-22,-187.29180568014635
2024-02-23,-188.66374484545668
2024-02-24,-189.99024812970674
2024-02-25,-191.2703768602223
2024-02-26,-192.50319236436917
2024-02-27,-193.68775596946216
2024-02-28,-194.8231290028707
2024-02-29,-195.9083727919242
2024-03-01,-196.9425486639957
2024-03-02,-197.9247179463964
2024-03-03,-198.85394196648122
2024-03-04,-199.72928205160497
2024-03-05,-200.54979952910435
2024-03-06,-201.31455572633422
2024-03-07,-202.0226119706167
2024-03-08,-202.67302958932487
2024-03-09,-203.26486990979538
2024-03-10,-203.79719425935764
2024-03-11,-204.26906396537015
2024-03-12,-204.67954035518414
2024-03-13,-205.02768475612174
2024-03-14,-205.31255849555964
2024-03-15,-205.53322290080905
2024-03-16,-205.68873929924303
2024-03-17,-205.7781690181946
2024-03-18,-205.80057338499682
2024-03-19,-205.75501372702638
2024-03-20,-205.6405513716054
2024-03-21,-205.45624764606328
2024-03-22,-205.20116387778762
2024-03-23,-204.87436139406782
2024-03-24,-204.47490152232422
2024-03-25,-204.001845589828
2024-03-26,-203.45425492396316
2024-03-27,-202.83119085206272
2024-03-28,-202.13171470149973
2024-03-29,-201.35488779956358
2024-03-30,-200.49977147366008
2024-03-31,-199.56542705109314
2024-04-01,-198.5509158591958
2024-04-02,-197.45529922536662
2024-04-03,-196.27763847689494
2024-04-04,-195.01699494117202
2024-04-05,-193.67242994551634
2024-04-06,-192.24300481729733
2024-04-07,-190.7277808838262
2024-04-08,-189.12581947244325
2024-04-09,-187.43618191053247
2024-04-10,-185.65792952542688
2024-04-11,-183.79012364445953
2024-04-12,-181.83182559496345
2024-04-13,-179.7820967043299
2024-04-14,-177.63999829984823
2024-04-15,-175.40459170892427
2024-04-16,-173.0749382588474
2024-04-17,-170.65009927697247
2024-04-18,-168.12913609065436
2024-04-19,-165.51111002726975
2024-04-20,-162.7950824141226
2024-04-21,-159.98011457856046
2024-04-22,-157.06526784793095
2024-04-23,-154.0496035495962
2024-04-24,-150.93218301090383
2024-04-25,-147.71206755915773
2024-04-26,-144.38831852172734
2024-04-27,-140.9599972260039
2024-04-28,-137.42616499925498
2024-04-29,-133.78588316886453
2024-04-30,-130.03821306215104
2024-05-01,-126.18221600651304
2024-05-02,-122.21695332926902
2024-05-03,-118.14148635774472
2024-05-04,-113.95487641928048
2024-05-05,-109.65618484126026
2024-05-06,-105.24447295099526
2024-05-07,-100.71880207587674
2024-05-08,-96.07823354320135
2024-05-09,-91.32182868030213
2024-05-10,-86.44864881459216
2024-05-11,-81.45775527333899
2024-05-12,-76.34820938397024
2024-05-13,-71.11907247375348
2024-05-14,-65.76940587007266
2024-05-15,-60.298270900239004
2024-05-16,-54.70472889166558
2024-05-17,-48.98784117161995
2024-05-18,-43.14666906751518
2024-05-19,-37.180273906647926
2024-05-20,-31.08771701635851
2024-05-21,-24.868059724060004
2024-05-22,-18.520363357034512
2024-05-23,-12.04368924262235
2024-05-24,-5.437098708207486
2024-05-25,1.3003469188988674
2024-05-26,8.16958631129819
2024-05-27,15.171558141722926
2024-05-28,22.307201082803658
2024-05-29,29.577453807141865
2024-05-30,36.98325498745544
2024-05-31,44.52554329633131
2024-06-01,52.205257406501914
2024-06-02,60.02333599055419
2024-06-03,67.98071772123512
2024-06-04,76.07834127113165
2024-06-05,84.31714531287435
2024-06-06,92.6980685191811
2024-06-07,101.22204956265341
2024-06-08,109.89002711600915
2024-06-09,118.70293985183525
2024-06-10,127.66172644280596
2024-06-11,136.7673255615955
2024-06-12,146.020675880849
2024-06-13,155.42271607329894
2024-06-14,164.97438481148856
2024-06-15,174.67662076804845
2024-06-16,184.5303626157256
2024-06-17,194.5365490271215
2024-06-18,204.6961186749395
2024-06-19,215.01001023186836
2024-06-20,225.47916237042227
2024-06-21,236.10451376334822
2024-06-22,246.88700308326224
2024-06-23,257.82756900294044
2024-06-24,268.9271501948824
2024-06-25,280.1866853318206
2024-06-26,291.607113086342
2024-06-27,303.1893721311935
2024-06-28,314.9344011390349
2024-06-29,326.8431387823948
2024-06-30,338.9165237340203
2024-07-01,351.15549466657103
2024-07-02,363.5609902528231
2024-07-03,376.13394916511606
2024-07-04,388.87531007634243
2024-07-05,401.7860116591037
2024-07-06,414.8669925860304
2024-07-07,428.11919152981136
2024-07-08,441.54354716310627
2024-07-09,455.1409981585457
2024-07-10,468.91248318873113
2024-07-11,482.85894092646777
2024-07-12,496.9813100442989
2024-07-13,511.28052921485505
2024-07-14,525.7575371108542
2024-07-15,540.4132724048977
2024-07-16,555.2486737697618
2024-07-17,570.2646798779897
2024-07-18,585.462229402212
2024-07-19,600.8422610152629
2024-07-20,616.4057133895403
2024-07-21,632.1535251978494
2024-07-22,648.0866351128207
2024-07-23,664.2059818071139
2024-07-24,680.5125039533887
2024-07-25,697.0071402243339
2024-07-26,713.6908292924927
2024-07-27,730.5645098307577
2024-07-28,747.6291205113812
2024-07-29,764.8856000073429
2024-07-30,782.3348869913316
2024-07-31,799.977920135716
2024-08-01,817.8156381134759
2024-08-02,835.8489795969217
2024-08-03,854.0788832589751
2024-08-04,872.5062877722958
2024-08-05,891.1321318093396
2024-08-06,909.957354042941
2024-08-07,928.9828931455559
2024-08-08,948.2096877901931
2024-08-09,967.6386766491341
2024-08-10,987.2707983952423
2024-08-11,1007.10699170109
2024-08-12,1027.148195239337
2024-08-13,1047.3953476826136
2024-08-14,1067.8493877038127
2024-08-15,1088.5112539751863
2024-08-16,1109.381885169656
2024-08-17,1130.4622199599107
2024-08-18,1151.7531970183481
2024-08-19,1173.25575501789
2024-08-20,1194.9708326312539
2024-08-21,1216.8993685305468
2024-08-22,1239.0423013890977
2024-08-23,1261.4005698792462
2024-08-24,1283.975112673681
2024-08-25,1306.7668684450327
2024-08-26,1329.776775865932
2024-08-27,1353.0057736090675
2024-08-28,1376.4548003471282
2024-08-29,1400.1247947527736
2024-08-30,1424.016695498518
2024-08-31,1448.1314412572247
2024-09-01,1472.4699707016116
2024-09-02,1497.0332225039601
2024-09-03,1521.8221353371628
2024-09-04,1546.8376478737919
2024-09-05,1572.0806987867109
2024-09-06,1597.552226748201
2024-09-07,1623.2531704315334
2024-09-08,1649.1844685087563
2024-09-09,1675.3470596525585
2024-09-10,1701.7418825358036
2024-09-11,1728.369875831413
2024-09-12,1755.2319782114355
2024-09-13,1782.3291283490253
2024-09-14,1809.6622649166384
2024-09-15,1837.2323265869636
2024-09-16,1865.040252032457
2024-09-17,1893.0869799261563
2024-09-18,1921.3734489403432
2024-09-19,1949.9005977480556
2024-09-20,1978.6693650214584
2024-09-21,2007.6806894335896
2024-09-22,2036.9355096571962
2024-09-23,2066.4347643645597
2024-09-24,2096.179392228485
2024-09-25,2126.1703319216613
2024-09-26,2156.408522116777
2024-09-27,2186.8949014863465
2024-09-28,2217.6304087031167
2024-09-29,2248.615982439951
2024-09-30,2279.8525613690144
2024-10-01,2311.3410841634613
2024-10-02,2343.082489495573
2024-10-03,2375.077716038446
2024-10-04,2407.3277024641284
2024-10-05,2439.833387445833
2024-10-06,2472.595709655783
2024-10-07,2505.615607767133
2024-10-08,2538.894020451873
2024-10-09,2572.431886383216
2024-10-10,2606.2301442336175
2024-10-11,2640.2897326757084
2024-10-12,2674.6115903822356
2024-10-13,2709.1966560257133
2024-10-14,2744.0458682788885
2024-10-15,2779.1601658142754
2024-10-16,2814.54048730497
2024-10-17,2850.1877714230795
2024-10-18,2886.102956841467
2024-10-19,2922.286982232996
2024-10-20,2958.7407862700056
2024-10-21,2995.4653076253016
2024-10-22,3032.4614849715726
2024-10-23,3069.730256981449
2024-10-24,3107.272562327271
2024-10-25,3145.0893396822503
2024-10-26,3183.1815277188434
2024-10-27,3221.5500651096227
2024-10-28,3260.195890527044
2024-10-29,3299.1199426442035
2024-10-30,3338.323160133499
2024-10-31,3377.8064816675615
2024-11-01,3417.570845919079
2024-11-02,3457.6171915605664
