Date,Open,High,Low,Close,Adj Close,Volume
25-Jun-24,21.06,21.24,20.81,20.81,20.81,"263,225"
24-Jun-24,20.22,21.32,20.18,21.1,21.1,"450,261"
21-Jun-24,21.1,21.35,20.16,20.22,20.22,"1,052,917"
20-Jun-24,21.32,21.78,21.11,21.22,21.22,"336,744"
19-Jun-24,21.36,21.66,21.22,21.57,21.57,"322,859"
18-Jun-24,21.27,21.41,20.76,21.35,21.35,"594,349"
17-Jun-24,21.31,21.4,20.58,21.11,21.11,"432,338"
14-Jun-24,21.6,21.73,20.87,21.38,21.38,"702,154"
13-Jun-24,21.92,22.14,21.63,21.82,21.82,"283,148"
12-Jun-24,22.14,22.44,21.8,21.99,21.99,"300,110"
11-Jun-24,23.16,23.2,22.13,22.21,22.21,"466,449"
10-Jun-24,23.03,23.38,22.7,23.13,23.13,"313,369"
7-Jun-24,23.11,23.45,23.09,23.28,23.28,"419,583"
6-Jun-24,23.19,23.36,22.55,23.05,23.05,"287,681"
5-Jun-24,22.97,23.49,22.97,23.19,23.19,"384,549"
4-Jun-24,22.9,23.16,22.73,22.81,22.81,"303,674"
3-Jun-24,22.86,23.33,22.64,22.97,22.97,"424,499"
31-May-24,22.11,22.62,21.94,22.42,22.42,"466,797"
30-May-24,21.27,22.34,21.17,22.14,22.14,"344,542"
29-May-24,21.76,22.01,21.41,21.41,21.41,"356,639"
28-May-24,22.01,22.09,21.5,21.79,21.79,"244,695"
27-May-24,21.92,22.46,21.76,22.01,22.01,"205,954"
24-May-24,20.86,22.04,20.79,21.92,21.92,"466,555"
23-May-24,21.86,21.86,20.96,21.02,21.02,"422,401"
22-May-24,21.5,21.86,21.22,21.66,21.66,"455,534"
21-May-24,22.27,22.5,21.17,21.62,21.62,"696,404"
20-May-24,21.95,22.26,21.67,22.25,22.25,"755,878"
17-May-24,20.19,21.29,20.05,21.29,21.29,"1,167,073"
16-May-24,21.2,21.46,19.66,20.19,20.19,"3,162,989"
15-May-24,23.04,23.7,23,23.33,23.33,"374,510"
14-May-24,22.66,23.27,22.53,23.16,23.16,"439,138"
13-May-24,22.43,22.49,22.07,22.4,22.4,"263,817"
10-May-24,22.37,22.57,22.2,22.3,22.3,"255,888"
9-May-24,22.32,22.45,22.1,22.23,22.23,"168,499"
8-May-24,22.23,22.71,22.22,22.31,22.31,"254,589"
7-May-24,22.67,23.2,22.36,22.45,22.45,"546,509"
6-May-24,22.08,22.22,21.54,21.64,21.64,"195,751"
3-May-24,22.31,22.57,21.9,21.97,21.97,"260,599"
2-May-24,22.1,22.45,22.06,22.21,22.21,"371,493"
30-Apr-24,22.11,22.37,22,22.17,22.17,"562,857"
29-Apr-24,21.9,22.23,21.65,22.12,22.12,"411,472"
26-Apr-24,21.75,22,21.51,21.82,21.82,"443,229"
25-Apr-24,21.61,21.85,21.35,21.72,21.72,"316,688"
24-Apr-24,21.85,21.9,21.59,21.68,21.68,"377,265"
23-Apr-24,21.85,22.03,21.69,21.8,21.8,"335,725"
22-Apr-24,21.18,21.96,21.18,21.73,21.73,"404,443"
19-Apr-24,20.93,21.36,20.82,21.06,21.06,"418,651"
18-Apr-24,21.17,21.49,21.02,21.11,21.11,"424,498"
17-Apr-24,20.21,21.33,20.17,21.17,21.17,"396,429"
16-Apr-24,20.28,20.39,19.52,20.27,20.27,"321,456"
15-Apr-24,20.42,20.65,20.33,20.39,20.39,"288,139"
12-Apr-24,20.77,21.33,20.49,20.49,20.49,"373,016"
11-Apr-24,20.86,21.25,20.55,20.58,20.58,"497,630"
10-Apr-24,20.97,21.13,20.6,20.88,20.88,"366,901"
9-Apr-24,20.7,21.28,20.53,21.05,21.05,"436,129"
8-Apr-24,19.84,20.7,19.83,20.7,20.7,"863,889"
5-Apr-24,19.55,19.82,19.12,19.82,19.82,"496,791"
4-Apr-24,19.82,19.98,19.52,19.86,19.86,"357,334"
3-Apr-24,19.67,19.84,19.46,19.78,19.78,"222,341"
2-Apr-24,19.49,19.85,19.35,19.77,19.77,"418,222"
28-Mar-24,19.54,19.77,19.3,19.5,19.5,"430,872"
27-Mar-24,19.57,19.89,19.41,19.51,19.51,"318,861"
26-Mar-24,19.08,19.56,18.89,19.55,19.55,"450,037"
25-Mar-24,19.04,19.08,18.66,19,19,"359,886"
22-Mar-24,18.96,19.26,18.83,19.06,19.06,"339,955"
21-Mar-24,19.13,19.46,18.87,19.01,19.01,"432,008"
20-Mar-24,18.75,19.03,18.47,18.94,18.94,"297,139"
19-Mar-24,18.9,19.06,18.57,18.87,18.87,"444,514"
18-Mar-24,19.16,19.63,18.99,18.99,18.99,"439,147"
15-Mar-24,19.11,19.25,18.83,18.97,18.97,"2,461,966"
14-Mar-24,19.94,20.11,18.76,19.17,19.17,"895,154"
13-Mar-24,19.6,20.11,19.33,19.83,19.83,"585,369"
12-Mar-24,19.35,19.86,19.25,19.6,19.6,"565,034"
11-Mar-24,19.33,19.47,18.97,19.38,19.38,"549,998"
8-Mar-24,20.12,20.26,19.4,19.42,19.42,"536,799"
7-Mar-24,20.16,20.16,19.64,20.13,20.13,"644,044"
6-Mar-24,20.36,20.49,20.18,20.31,20.31,"391,195"
5-Mar-24,20.52,20.75,20.3,20.36,20.36,"397,723"
4-Mar-24,20.9,20.9,20.24,20.69,20.69,"729,367"
1-Mar-24,21.25,21.32,20.87,20.87,20.87,"445,085"
29-Feb-24,21.34,21.64,21.06,21.2,21.2,"604,509"
28-Feb-24,21.4,21.47,21.04,21.38,21.38,"348,586"
27-Feb-24,21.82,21.88,21.4,21.41,21.41,"477,759"
26-Feb-24,22.15,22.23,21.44,21.9,21.9,"393,230"
23-Feb-24,22.52,22.59,22.04,22.15,22.15,"366,673"
22-Feb-24,22.7,22.91,22.4,22.51,22.51,"403,615"
21-Feb-24,22.73,22.85,22.13,22.6,22.6,"609,196"
20-Feb-24,23.69,23.78,22.9,22.98,22.98,"571,444"
19-Feb-24,23.83,23.99,23.49,23.8,23.8,"505,048"
16-Feb-24,24.6,24.6,23.84,24.25,24.25,"493,573"
15-Feb-24,24.47,24.59,24.02,24.47,24.47,"470,040"
14-Feb-24,23.32,24.46,23.19,24.39,24.39,"631,601"
13-Feb-24,23.44,23.82,23.1,23.57,23.57,"640,640"
